Track Name,Artist Name(s),Track URL,Album Name,Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Explicit,Popularity,ISRC,Added At,Artist Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Album Genres,Label,Copyrights
Perfect,Ed Sheeran,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FEd%20Sheeran%20-%20Perfect%20(Official%20Music%20Video).mp3?alt=media,÷ (Deluxe),Ed Sheeran,3/3/2017,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,1,5,263400,FALSE,91,GBAHS1700024,2021-08-08T09:26:31Z,"pop,singer-songwriter pop,uk pop",0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,3,,Atlantic Records UK,"C © 2017 Asylum Records UK, a division of Atlantic Records UK, a Warner Music Group company., P ℗ 2017 Asylum Records UK, a division of Atlantic Records UK, a Warner Music Group company."
Photograph,Ed Sheeran,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FEd%20Sheeran%20-%20Photograph%20(Official%20Music%20Video).mp3?alt=media,x (Deluxe Edition),Ed Sheeran,6/21/2014,https://i.scdn.co/image/ab67616d0000b27313b3e37318a0c247b550bccd,1,6,258986,FALSE,88,GBAHS1400094,2021-08-08T09:26:31Z,"pop,singer-songwriter pop,uk pop",0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,4,,Atlantic Records UK,"C © 2014 Asylum Records UK, a Warner Music UK Company, P ℗ 2014 Asylum Records UK, a Warner Music UK Company, except track 16 2013 Warner Bros. Entertainment Inc. and Metro-Goldwyn-Mayer Pictures Inc."
Shape of You,Ed Sheeran,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FEd%20Sheeran%20-%20Shape%20of%20You%20(Official%20Music%20Video).mp3?alt=media,÷ (Deluxe),Ed Sheeran,3/3/2017,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,1,4,233712,FALSE,90,GBAHS1600463,2021-08-08T09:26:31Z,"pop,singer-songwriter pop,uk pop",0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,4,,Atlantic Records UK,"C © 2017 Asylum Records UK, a division of Atlantic Records UK, a Warner Music Group company., P ℗ 2017 Asylum Records UK, a division of Atlantic Records UK, a Warner Music Group company."
Cold Heart - PNAU Remix,"Elton John, Dua Lipa, PNAU","https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FElton%20John,%20Dua%20Lipa%20-%20Cold%20Heart%20(PNAU%20Remix)%20(Official%20Video).mp3?alt=media",Cold Heart (PNAU Remix),"Elton John, Dua Lipa, PNAU",8/13/2021,https://i.scdn.co/image/ab67616d0000b2739f5cce8304c42d3a5463fd23,1,1,202735,FALSE,88,GBUM72104705,2021-11-19T23:17:41Z,"glam rock,mellow gold,piano rock,rock,dance pop,pop,uk pop,alternative dance,aussietronica,australian dance,australian electropop",0.796,0.798,1,-6.312,1,0.0317,0.034,4.19E-05,0.0952,0.942,116.032,4,,EMI,"C © 2021 Mercury Records Limited, P ℗ 2021 Mercury Records Limited"
Cupid - Twin Ver.,FIFTY FIFTY,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FFIFTY%20FIFTY%20(피프티피프티)%20-%20'Cupid'%20%20Official%20MV.mp3?alt=media,The Beginning: Cupid,FIFTY FIFTY,2/24/2023,https://i.scdn.co/image/ab67616d0000b27337c0b3670236c067c8e8bbcb,1,2,174253,FALSE,97,KSA012239181,2023-06-06T09:13:21Z,k-pop girl group,0.783,0.592,11,-8.332,0,0.0331,0.435,4.15E-06,0.347,0.726,120.018,4,,WM Korea,"C © 2023 ATTRAKT under exclusive license to Warner Music Korea, P ℗ 2023 ATTRAKT under exclusive license to Warner Music Korea"
Dreams - 2004 Remaster,Fleetwood Mac,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FDreams%20(2004%20Remaster).mp3?alt=media,Rumours (Super Deluxe),Fleetwood Mac,2/4/1977,https://i.scdn.co/image/ab67616d0000b273e52a59a28efa4773dd2bfe1b,1,2,257800,FALSE,88,USWB11301111,2021-08-08T09:26:31Z,"album rock,classic rock,rock,soft rock,yacht rock",0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,4,,Rhino/Warner Records,"C © 2013 Warner Records Inc., P ℗ 2013 Warner Records Inc. Marketed by Rhino Entertainment Company, a Warner Music Group Company."
Pumped Up Kicks,Foster The People,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FFoster%20The%20People%20-%20Pumped%20Up%20Kicks%20(Official%20Video).mp3?alt=media,Torches,Foster The People,5/23/2011,https://i.scdn.co/image/ab67616d0000b273121d5f92cf90576907dfb1e5,1,2,239600,FALSE,87,USSM11002931,2021-08-08T09:26:31Z,"indietronica,modern alternative rock,modern rock,rock",0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,4,,Columbia,"P (P) 2010, 2011 Sony Music Entertainment"
Feel Good Inc.,Gorillaz,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FGorillaz%20-%20Feel%20Good%20Inc.%20(Official%20Video).mp3?alt=media,Demon Days,Gorillaz,5/23/2005,https://i.scdn.co/image/ab67616d0000b27319d85a472f328a6ed9b704cf,1,6,222640,FALSE,87,GBAYE0500172,2021-08-08T09:26:31Z,"alternative hip hop,modern rock,rock",0.818,0.705,6,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559,4,,Parlophone UK,"C © 2005 Parlophone Records Ltd. This label copy information is the subject of copyright protection. All rights reserved. (C) 2005 Parlophone Records Ltd, P ℗ 2005 The copyright in this sound recording is owned by Parlophone Records Ltd"
Adore You,Harry Styles,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FHarry%20Styles%20-%20Adore%20You%20(Official%20Video).mp3?alt=media,Fine Line,Harry Styles,12/13/2019,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a,1,3,207133,FALSE,88,USSM11912588,2021-08-08T09:26:31Z,pop,0.676,0.771,8,-3.675,1,0.0483,0.0237,7.00E-06,0.102,0.569,99.048,4,,Columbia,"P (P) 2019 Erskine Records Limited, under exclusive license to Columbia Records, a Division of Sony Music Entertainment"
As It Was,Harry Styles,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FHarry%20Styles%20-%20As%20It%20Was%20(Lyrics).mp3?alt=media,As It Was,Harry Styles,3/31/2022,https://i.scdn.co/image/ab67616d0000b273b46f74097655d7f353caab14,1,1,167303,FALSE,93,USSM12200612,2022-04-05T08:06:34Z,pop,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,4,,Columbia,"P (P) 2022 Erskine Records Limited, under exclusive license to Columbia Records, a Division of Sony Music Entertainment"
Watermelon Sugar,Harry Styles,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FHarry%20Styles%20-%20Watermelon%20Sugar%20(Official%20Video).mp3?alt=media,Fine Line,Harry Styles,12/13/2019,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a,1,2,174000,FALSE,92,USSM11912587,2021-08-08T09:26:31Z,pop,0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,4,,Columbia,"P (P) 2019 Erskine Records Limited, under exclusive license to Columbia Records, a Division of Sony Music Entertainment"
Believer,Imagine Dragons,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FImagine%20Dragons%20-%20Believer%20(Official%20Music%20Video).mp3?alt=media,Evolve,Imagine Dragons,6/23/2017,https://i.scdn.co/image/ab67616d0000b2735675e83f707f1d7271e5cf8a,1,4,204346,FALSE,91,USUM71700626,2021-08-08T09:26:31Z,"modern rock,pop,rock",0.776,0.78,10,-4.374,0,0.128,0.0622,0,0.081,0.666,124.949,4,,Kid Ina Korner / Interscope,"C © 2018 KIDinaKORNER/Interscope Records, P ℗ 2018 KIDinaKORNER/Interscope Records"
Bones,Imagine Dragons,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FImagine%20Dragons%20-%20Bones%20(Official%20Audio).mp3?alt=media,Mercury - Acts 1 & 2,Imagine Dragons,7/1/2022,https://i.scdn.co/image/ab67616d0000b273fc915b69600dce2991a61f13,2,1,165264,FALSE,88,USUM72201759,2022-10-15T22:27:15Z,"modern rock,pop,rock",0.772,0.75,5,-3.67,0,0.0455,0.0201,0,0.074,0.587,114.061,4,,Kid Ina Korner / Interscope,"C © 2022 KIDinaKORNER/Interscope Records, P ℗ 2022 KIDinaKORNER/Interscope Records"
Demons,Imagine Dragons,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FImagine%20Dragons%20-%20Demons%20(Official%20Music%20Video).mp3?alt=media,Night Visions,Imagine Dragons,9/4/2012,https://i.scdn.co/image/ab67616d0000b273407bd04707c463bbb3410737,1,4,177506,FALSE,88,USUM71201071,2021-11-17T22:20:56Z,"modern rock,pop,rock",0.505,0.71,3,-3.015,1,0.0321,0.19,0.00025,0.269,0.428,89.938,4,,Kid Ina Korner / Interscope,"C © 2013 KIDinaKORNER/Interscope Records, P ℗ 2013 KIDinaKORNER/Interscope Records"
Thunder,Imagine Dragons,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FImagine%20Dragons%20-%20Thunder.mp3?alt=media,Evolve,Imagine Dragons,6/23/2017,https://i.scdn.co/image/ab67616d0000b2735675e83f707f1d7271e5cf8a,1,10,187146,FALSE,89,USUM71704167,2021-08-08T09:26:31Z,"modern rock,pop,rock",0.605,0.822,0,-4.833,1,0.0438,0.00671,0.134,0.147,0.288,167.997,4,,Kid Ina Korner / Interscope,"C © 2018 KIDinaKORNER/Interscope Records, P ℗ 2018 KIDinaKORNER/Interscope Records"
Say You Won't Let Go,James Arthur,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FJames%20Arthur%20-%20Say%20You%20Won't%20Let%20Go.mp3?alt=media,Back from the Edge,James Arthur,10/28/2016,https://i.scdn.co/image/ab67616d0000b27320beb61f61fcbeb33b10a9ab,1,2,211466,FALSE,89,DEE861600586,2021-08-08T09:26:31Z,"pop,talent show,uk pop",0.358,0.557,10,-7.398,1,0.059,0.695,0,0.0902,0.494,85.043,4,,Columbia,P (P) 2016 Sony Music Entertainment Germany GmbH
All of Me,John Legend,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FJohn%20Legend%20-%20All%20of%20Me%20(Official%20Video).mp3?alt=media,Love In The Future (Expanded Edition),John Legend,8/30/2013,https://i.scdn.co/image/ab67616d0000b27394c9217a398f5174757c0c78,1,6,269560,FALSE,88,USSM11303954,2021-08-08T09:26:31Z,"neo soul,pop,pop soul,urban contemporary",0.422,0.264,8,-7.064,1,0.0322,0.922,0,0.132,0.331,119.93,4,,G.O.O.D. Music/Columbia,"P (P) 2013 Getting Out Our Dreams and Columbia Records, a Division of Sony Music Entertainment"
Ghost,Justin Bieber,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FJustin%20Bieber%20-%20Ghost.mp3?alt=media,Justice,Justin Bieber,3/19/2021,https://i.scdn.co/image/ab67616d0000b273e6f407c7f3a0ec98845e4431,1,11,153190,FALSE,89,USUM72102635,2022-07-25T00:19:42Z,"canadian pop,pop",0.601,0.741,2,-5.569,1,0.0478,0.185,2.91E-05,0.415,0.441,153.96,4,,RBMG/Def Jam,"C © 2021 Def Jam Recordings, a division of UMG Recordings, Inc., P ℗ 2021 Def Jam Recordings, a division of UMG Recordings, Inc."
Love Yourself,Justin Bieber,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FJustin%20Bieber%20-%20Love%20Yourself%20(PURPOSE%20_%20The%20Movement).mp3?alt=media,Purpose (Deluxe),Justin Bieber,11/13/2015,https://i.scdn.co/image/ab67616d0000b273f46b9d202509a8f7384b90de,1,5,233720,FALSE,88,USUM71516761,2021-08-08T09:26:31Z,"canadian pop,pop",0.609,0.378,4,-9.828,1,0.438,0.835,0,0.28,0.515,100.418,4,,RBMG/Def Jam,"C © 2015 Def Jam Recordings, a division of UMG Recordings, Inc., P ℗ 2015 Def Jam Recordings, a division of UMG Recordings, Inc."
Somewhere Only We Know,Keane,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FKeane%20-%20Somewhere%20Only%20We%20Know%20(Official%20Music%20Video).mp3?alt=media,Hopes And Fears,Keane,5/10/2004,https://i.scdn.co/image/ab67616d0000b2737d6cd95a046a3c0dacbc7d33,1,1,237146,FALSE,89,GBAAN0300664,2021-08-08T09:26:31Z,"neo mellow,piano rock,pop rock",0.448,0.665,9,-4.203,1,0.026,0.06,2.55E-05,0.0828,0.304,172.004,4,,Universal-Island Records Ltd.,"C © 2004 Universal Island Records Ltd. A Universal Music Company., P ℗ 2004 Universal Island Records Ltd. A Universal Music Company."
All The Stars (with SZA),"Kendrick Lamar, SZA","https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FKendrick%20Lamar,%20SZA%20-%20All%20The%20Stars.mp3?alt=media",Black Panther The Album Music From And Inspired By,"Kendrick Lamar, SZA",2/9/2018,https://i.scdn.co/image/ab67616d0000b273c027ad28821777b00dcaa888,1,2,232186,TRUE,87,USUM71713947,2021-08-08T09:26:31Z,"conscious hip hop,hip hop,rap,west coast rap,pop,r&b,rap",0.698,0.633,8,-4.946,1,0.0597,0.0605,0.000194,0.0926,0.552,96.924,4,,Black Panther (TDE/DMG) PS,"C © 2018 Aftermath Records, P ℗ 2018 Aftermath Records"
Padam Padam,Kylie Minogue,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FKylie%20Minogue%20-%20Padam%20Padam%20(Official%20Video).mp3?alt=media,Padam Padam,Kylie Minogue,5/19/2023,https://i.scdn.co/image/ab67616d0000b2730536a87c690530562f30d493,1,1,166266,FALSE,69,GB5KW2301017,2023-07-25T11:57:02Z,"australian dance,australian pop,dance pop,eurodance,new wave pop",0.744,0.62,5,-7.93,1,0.246,0.214,0.00116,0.103,0.711,128.103,4,,Liberator Music,"C 2023 Kylie Minogue/Darenote under exclusive license to BMG Rights Management (UK) Limited, P 2023 Kylie Minogue/Darenote under exclusive license to BMG Rights Management (UK) Limited"
Shallow,"Lady Gaga, Bradley Cooper","https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FLady%20Gaga,%20Bradley%20Cooper%20-%20Shallow%20(from%20A%20Star%20Is%20Born)%20(Official%20Music%20Video).mp3?alt=media",A Star Is Born Soundtrack,"Lady Gaga, Bradley Cooper",10/5/2018,https://i.scdn.co/image/ab67616d0000b273e2d156fdc691f57900134342,1,12,215733,FALSE,87,USUM71813192,2021-08-08T09:26:31Z,"art pop,dance pop,pop,hollywood",0.572,0.385,7,-6.362,1,0.0308,0.371,0,0.231,0.323,95.799,4,,A Star is Born OST,"C © 2018 Interscope Records, Motion Picture Artwork © 2018 Warner Bros. Entertainment Inc. Motion Picture Photography © 2018 Warner Bros. Entertainment Inc. and Metro-Goldwyn-Mayer Inc.,, P ℗ 2018 Interscope Records"
Before You Go,Lewis Capaldi,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FLewis%20Capaldi%20-%20Before%20You%20Go%20(Official%20Video).mp3?alt=media,Divinely Uninspired To A Hellish Extent (Extended Edition),Lewis Capaldi,11/22/2019,https://i.scdn.co/image/ab67616d0000b2737b9639babbe96e25071ec1d4,1,13,215106,FALSE,88,DEUM71905868,2021-08-08T09:26:31Z,"pop,uk pop",0.459,0.575,3,-4.858,1,0.0573,0.604,0,0.0885,0.183,111.881,4,,Vertigo Berlin,"C © 2019 Universal Music GmbH, P ℗ 2019 Universal Music GmbH"
Wish You The Best,Lewis Capaldi,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FLewis%20Capaldi%20-%20Wish%20You%20The%20Best%20(Live%20from%20The%20Voice).mp3?alt=media,Wish You The Best,Lewis Capaldi,4/14/2023,https://i.scdn.co/image/ab67616d0000b273f4b2bcecd4647b0ba6f59e0b,1,1,210880,FALSE,67,DEUM72206010,2023-07-05T22:56:22Z,"pop,uk pop",0.678,0.48,3,-3.607,1,0.0298,0.588,0,0.0954,0.49,107.934,4,,Vertigo Berlin,"C © 2023 Universal Music GmbH, P ℗ 2023 Universal Music GmbH"
In the End,Linkin Park,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FIn%20The%20End%20[Official%20HD%20Music%20Video]%20-%20Linkin%20Park.mp3?alt=media,Hybrid Theory (Bonus Edition),Linkin Park,10/24/2000,https://i.scdn.co/image/ab67616d0000b273e2f039481babe23658fc719a,1,8,216880,FALSE,89,USWB10002407,2021-08-08T09:26:31Z,"alternative metal,nu metal,post-grunge,rap metal,rock",0.556,0.864,3,-5.87,0,0.0584,0.00958,0,0.209,0.4,105.143,4,,Warner Records,"C © 2000 Warner Records Inc., P ℗ 2000 Warner Records Inc."
Numb,Linkin Park,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FNumb%20(Official%20Music%20Video)%20[4K%20UPGRADE]%20%20Linkin%20Park.mp3?alt=media,Meteora,Linkin Park,3/24/2003,https://i.scdn.co/image/ab67616d0000b273b4ad7ebaf4575f120eb3f193,1,13,185586,FALSE,88,USWB10300474,2021-08-08T09:26:31Z,"alternative metal,nu metal,post-grunge,rap metal,rock",0.496,0.863,9,-4.153,1,0.0381,0.0046,0,0.639,0.243,110.018,4,,Warner Records,"C © 2003 Warner Records Inc., P ℗ 2003 Warner Records Inc."
Where Are You Now,"Lost Frequencies, Calum Scott",https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FLost%20Frequencies%20ft.%20Calum%20Scott%20-%20Where%20Are%20You%20Now%20(Official%20video).mp3?alt=media,Where Are You Now,"Lost Frequencies, Calum Scott",7/30/2021,https://i.scdn.co/image/ab67616d0000b2738d7a7f1855b04104ba59c18b,1,1,148197,FALSE,89,BEHP42100067,2021-11-20T11:36:45Z,"belgian edm,edm,pop dance,tropical house,pop",0.671,0.636,6,-8.117,0,0.103,0.515,0.000411,0.172,0.262,120.966,4,,Epic Amsterdam,"P (P) 2021 Lost & Cie Music SPRL exclusively licensed to Epic Amsterdam, with courtesy of Sony Music Entertainment Belgium NV/SA"
Fast Car,Luke Combs,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FLuke%20Combs%20-%20Fast%20Car%20(Lyrics).mp3?alt=media,Gettin' Old,Luke Combs,3/24/2023,https://i.scdn.co/image/ab67616d0000b273ca650d3a95022e0490434ba1,1,14,265493,FALSE,92,US6XF2200436,2023-05-07T11:59:41Z,"contemporary country,country",0.712,0.603,8,-5.52,1,0.0262,0.186,0,0.115,0.67,97.994,4,,River House Artists/Columbia Nashville,"P (P) 2023 River House Artists LLC, under exclusive license to Sony Music Entertainment. All rights reserved."
Made You Look,Meghan Trainor,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FMeghan%20Trainor%20-%20Made%20You%20Look%20(Lyrics).mp3?alt=media,Takin' It Back,Meghan Trainor,10/21/2022,https://i.scdn.co/image/ab67616d0000b2731a4f1ada93881da4ca8060ff,1,2,134256,FALSE,88,USSM12204574,2022-12-28T10:16:46Z,"hip pop,pop",0.838,0.525,10,-3.562,1,0.0665,0.345,1.92E-06,0.0771,0.884,144.981,4,,Epic,"P (P) 2022 Epic Records, a division of Sony Music Entertainment"
Creepin' (with The Weeknd & 21 Savage),"Metro Boomin, The Weeknd, 21 Savage","https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FMetro%20Boomin,%20The%20Weeknd,%2021%20Savage%20-%20Creepin'.mp3?alt=media",HEROES & VILLAINS,Metro Boomin,12/2/2022,https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2,1,10,221520,TRUE,95,USUG12208791,2023-05-07T12:00:09Z,"hip hop,rap,canadian contemporary r&b,canadian pop,pop,atl hip hop,hip hop,rap,trap",0.715,0.62,1,-6.005,0,0.0484,0.417,0,0.0822,0.172,97.95,4,,Republic Records,"C © 2022 Boominati Worldwide, LLC, under exclusive license to Republic Records, a division of UMG Recordings, Inc., P ℗ 2022 Boominati Worldwide, LLC, under exclusive license to Republic Records, a division of UMG Recordings, Inc."
Flowers,Miley Cyrus,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FMiley%20Cyrus%20-%20Flowers.mp3?alt=media,Flowers,Miley Cyrus,1/13/2023,https://i.scdn.co/image/ab67616d0000b273f429549123dbe8552764ba1d,1,1,200454,FALSE,96,USSM12209777,2023-02-01T19:33:29Z,pop,0.707,0.681,0,-4.325,1,0.0668,0.0632,5.15E-06,0.0322,0.646,117.999,4,,Columbia,"P (P) 2023 Smiley Miley, Inc. under exclusive license to Columbia Records, a Division of Sony Music Entertainment"
