Track Name,Artist Name(s),Track URL,Album Name,Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Explicit,Popularity,ISRC,Added At,Artist Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Album Genres,Label,Copyrights
Last Night,Morgan Wallen,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FMorgan%20Wallen%20-%20Last%20Night.mp3?alt=media,3 Songs At A Time Sampler,Morgan Wallen,1/31/2023,https://i.scdn.co/image/ab67616d0000b273fc1df8423733f6f3c9e8dea2,1,1,163854,TRUE,91,USUG12300802,2023-07-05T22:57:00Z,contemporary country,0.517,0.675,6,-5.382,1,0.0357,0.459,0,0.151,0.518,203.853,4,,Big Loud Records / Mercury Records / Republic Records,"C © 2023 Big Loud Records, under exclusive license to Mercury Records/Republic Records, a division of UMG Recordings, Inc., P ℗ 2023 Big Loud Records, under exclusive license to Mercury Records/Republic Records, a division of UMG Recordings, Inc."
Miss You,"Oliver Tree, Robin Schulz",https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FOliver%20Tree%20&%20Robin%20Schulz%20-%20Miss%20You%20[Official%20Music%20Video].mp3?alt=media,Miss You,"Oliver Tree, Robin Schulz",8/5/2022,https://i.scdn.co/image/ab67616d0000b2735b1bff1152ef6d402c9b75a8,1,1,206000,TRUE,87,USAT22211992,2023-07-05T22:57:12Z,"alternative hip hop,deep euro house,deep house,edm,german dance,pop dance,tropical house",0.587,0.742,6,-6.64,0,0.0529,0.0128,0.00107,0.146,0.199,145.007,4,,Atlantic Records,"C © 2022 Atlantic Recording Corporation, P ℗ 2022 Atlantic Recording Corporation"
vampire,Olivia Rodrigo,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FOlivia%20Rodrigo-%20Vampire%20(lyrics).mp3?alt=media,vampire,Olivia Rodrigo,6/30/2023,https://i.scdn.co/image/ab67616d0000b2731e5e75dc1d878a0007cb6525,1,1,219724,TRUE,98,USUG12304091,2023-07-05T22:55:39Z,pop,0.511,0.532,5,-5.745,1,0.056,0.169,0,0.311,0.322,137.827,4,,Olivia Rodrigo PS,"C © 2023 Olivia Rodrigo, under exclusive license to Geffen Records, P ℗ 2023 Olivia Rodrigo, under exclusive license to Geffen Records"
Night Changes,One Direction,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FOne%20Direction%20-%20Night%20Changes.mp3?alt=media,FOUR (Deluxe),One Direction,11/17/2014,https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4,1,7,226600,FALSE,91,GBHMU1400165,2021-08-08T09:26:31Z,"boy band,pop,post-teen pop,talent show",0.672,0.52,8,-7.747,1,0.0353,0.859,0,0.115,0.37,120.001,4,,Syco Music,P (P) 2014 Simco Limited under exclusive license to Sony Music Entertainment UK Limited
What Makes You Beautiful,One Direction,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FOne%20Direction%20-%20What%20Makes%20You%20Beautiful%20(Official%20Video).mp3?alt=media,Up All Night,One Direction,5/25/2012,https://i.scdn.co/image/ab67616d0000b2734a5584795dc73860653a9a3e,1,1,199986,FALSE,88,GBHMU1100018,2021-08-08T09:26:31Z,"boy band,pop,post-teen pop,talent show",0.726,0.787,4,-2.494,1,0.0737,0.009,0,0.0596,0.888,124.99,4,,Syco Music UK,P Track 2 & 18 (P) 2011; all othertracks (P) 2012 Simco Limited under exclusive license to Sony Music Entertainment UK Limited
Counting Stars,OneRepublic,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FOneRepublic%20-%20Counting%20Stars.mp3?alt=media,Native,OneRepublic,1/1/2013,https://i.scdn.co/image/ab67616d0000b2739e2f95ae77cf436017ada9cb,1,1,257265,FALSE,89,USUM71301306,2021-08-08T09:26:31Z,"piano rock,pop",0.664,0.705,1,-4.972,0,0.0382,0.0654,0,0.118,0.477,122.016,4,,Mosley / Interscope,"C © 2013 Mosley Music/Interscope Records, P ℗ 2013 Mosley Music/Interscope Records"
I Ain't Worried,OneRepublic,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FOneRepublic%20-%20I%20Ain't%20Worried.mp3?alt=media,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",OneRepublic,5/13/2022,https://i.scdn.co/image/ab67616d0000b273ec96e006b8bdfc582610ec13,1,1,148485,FALSE,95,USUM72206227,2022-08-28T06:14:50Z,"piano rock,pop",0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4,,Interscope Records,"C © 2022 Paramount Pictures, P ℗ 2022 Mosley Music/Interscope Records"
Circles,Post Malone,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FPost%20Malone%20-%20Circles%20(Official%20Music%20Video).mp3?alt=media,Hollywood's Bleeding,Post Malone,9/6/2019,https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02,1,6,215280,FALSE,90,USUM71915699,2021-08-08T09:26:31Z,"dfw rap,melodic rap,pop,rap",0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,4,,Republic Records,"C © 2019 Republic Records, a division of UMG Recordings, Inc., P ℗ 2019 Republic Records, a division of UMG Recordings, Inc."
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee","https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FPost%20Malone,%20Swae%20Lee%20-%20Sunflower%20(Spider-Man_%20Into%20the%20Spider-Verse)%20(Official%20Video).mp3?alt=media",Hollywood's Bleeding,Post Malone,9/6/2019,https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02,1,12,157560,FALSE,88,USUM71814888,2021-08-08T09:26:31Z,"dfw rap,melodic rap,pop,rap,melodic rap,rap,trap",0.755,0.522,2,-4.368,1,0.0575,0.533,0,0.0685,0.925,89.96,4,,Republic Records,"C © 2019 Republic Records, a division of UMG Recordings, Inc., P ℗ 2019 Republic Records, a division of UMG Recordings, Inc."
Flip A Switch. (feat. Coi Leray) - Remix,"RAYE, Coi Leray",https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FRAYE%20%20-%20'Flip%20A%20Switch.'%20Remix%20ft.%20Coi%20Leray%20(Official%20Lyric%20Video).mp3?alt=media,Flip A Switch. (feat. Coi Leray) [Remix],"RAYE, Coi Leray",4/21/2023,https://i.scdn.co/image/ab67616d0000b27373c1bf01c497d9e3e9913a28,1,1,201360,TRUE,66,QM6MZ2307127,2023-06-14T04:37:14Z,"uk contemporary r&b,uk pop,new jersey underground rap,trap queen",0.697,0.538,1,-5.826,0,0.0455,0.0422,2.95E-05,0.208,0.49,94.049,4,,Human Re Sources,"C (C) 2023 Human Re Sources, P (P) 2023 RAYE under exclusive license to Human Re Sources"
Calm Down (with Selena Gomez),"Rema, Selena Gomez",https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FRema%20&%20Selena%20Gomez%20-%20Calm%20Down%20(Official%20Lyric%20Video).mp3?alt=media,Calm Down (with Selena Gomez),"Rema, Selena Gomez",8/25/2022,https://i.scdn.co/image/ab67616d0000b273a3a7f38ea2033aa501afd4cf,1,1,239317,FALSE,94,NGA3B2214021,2023-07-05T22:56:51Z,"afrobeats,nigerian pop,pop,post-teen pop",0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,4,,Mavin Records / Jonzing World,"C © 2022 Mavin Global Holdings Ltd/Jonzing World Entertainment/SMG Music LLC, under exclusive licence to Interscope Records, P ℗ 2022 Mavin Global Holdings Ltd/Jonzing World Entertainment/SMG Music LLC, under exclusive licence to Interscope Records"
Stay With Me,Sam Smith,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FSam%20Smith%20-%20Stay%20With%20Me%20(Official%20Music%20Video).mp3?alt=media,In The Lonely Hour,Sam Smith,5/26/2014,https://i.scdn.co/image/ab67616d0000b273b11bdc91cb9ac6b14f5c1dae,1,3,172723,FALSE,87,GBUM71308833,2021-08-08T09:26:31Z,"pop,uk pop",0.418,0.42,0,-6.444,1,0.0414,0.588,6.39E-05,0.11,0.184,84.094,4,,Capitol,"C © 2014 Capitol Records, a division of Universal Music Operations Limited, P ℗ 2014 Capitol Records, a division of Universal Music Operations Limited"
Too Good At Goodbyes,Sam Smith,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FSam%20Smith%20-%20Too%20Good%20At%20Goodbyes.mp3?alt=media,The Thrill Of It All (Special Edition),Sam Smith,11/3/2017,https://i.scdn.co/image/ab67616d0000b273005cd7d0ae87b081601f6cca,1,1,201000,FALSE,87,GBUM71704089,2021-08-08T09:26:31Z,"pop,uk pop",0.681,0.372,5,-8.237,1,0.0432,0.64,0,0.169,0.476,91.873,4,,Capitol,"C © 2017 Universal Music Operations Limited, P ℗ 2017 Universal Music Operations Limited"
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras","https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FUnholy%20-%20Sam%20Smith,%20Kim%20Petras.mp3?alt=media",Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",9/22/2022,https://i.scdn.co/image/ab67616d0000b273a935e4689f15953311772cc4,1,1,156943,FALSE,90,GBUM72205415,2022-10-20T10:05:08Z,"pop,uk pop,alt z,pop,transpop",0.714,0.472,2,-7.375,1,0.0864,0.013,4.51E-06,0.266,0.238,131.121,4,,Capitol Records UK / EMI,"C © 2022 Universal Music Operations Limited, P ℗ 2022 Universal Music Operations Limited"
Hips Don't Lie (feat. Wyclef Jean),"Shakira, Wyclef Jean",https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FShakira%20-%20Hips%20Don't%20Lie%20(Official%204K%20Video)%20ft.%20Wyclef%20Jean.mp3?alt=media,"Oral Fixation, Vol. 2 (Expanded Edition)",Shakira,11/28/2005,https://i.scdn.co/image/ab67616d0000b27327ddd747545c0d0cfe7595fa,1,3,218093,FALSE,88,USSM10600677,2021-08-08T09:26:31Z,"colombian pop,dance pop,latin pop,pop,rap kreyol",0.778,0.824,10,-5.892,0,0.0707,0.284,0,0.405,0.758,100.024,4,,Epic,P (P) 2005 Sony Music Entertainment (Holland) B.V.
There's Nothing Holdin' Me Back,Shawn Mendes,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FShawn%20Mendes%20-%20There's%20Nothing%20Holdin'%20Me%20Back%20(Official%20Music%20Video).mp3?alt=media,Illuminate (Deluxe),Shawn Mendes,4/20/2017,https://i.scdn.co/image/ab67616d0000b273ea3ef7697cfd5705b8f47521,1,1,199440,FALSE,89,USUM71702833,2021-08-08T09:26:31Z,"canadian pop,pop,viral pop",0.866,0.813,11,-4.063,0,0.0554,0.38,0,0.0779,0.969,121.998,4,,Island Records,"C © 2016 Island Records, a division of UMG Recordings, Inc., P This Compilation ℗ 2017 Island Records, a division of UMG Recordings, Inc."
The Less I Know The Better,Tame Impala,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FTame%20Impala%20-%20The%20Less%20I%20Know%20The%20Better%20(Audio).mp3?alt=media,Currents,Tame Impala,7/17/2015,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79,1,7,216320,TRUE,88,AUUM71500303,2021-08-08T09:26:31Z,"australian psych,modern rock,neo-psychedelic,rock",0.64,0.74,4,-4.083,1,0.0284,0.0115,0.00678,0.167,0.785,116.879,4,,Universal Music Australia Pty. Ltd.,"C © 2015 Modular Recordings, P ℗ 2015 Modular Recordings, under exclusive license to Universal Music Australia Pty Limited"
Anti-Hero,Taylor Swift,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FANTI-HERO%20Taylor%20Swift.mp3?alt=media,Midnights,Taylor Swift,10/21/2022,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,1,3,200690,FALSE,95,USUG12205736,2022-11-02T00:25:27Z,pop,0.637,0.643,4,-6.571,1,0.0519,0.13,1.80E-06,0.142,0.533,97.008,4,,Taylor Swift,"C © 2022 Taylor Swift, P ℗ 2022 Taylor Swift"
Blank Space,Taylor Swift,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FTaylor%20Swift%20-%20Blank%20Space.mp3?alt=media,1989 (Deluxe),Taylor Swift,1/1/2014,https://i.scdn.co/image/ab67616d0000b27352b2a3824413eefe9e33817a,1,2,231826,FALSE,92,USCJY1431309,2021-08-08T09:26:31Z,pop,0.76,0.703,5,-5.412,1,0.054,0.103,0,0.0913,0.57,95.997,4,,"Big Machine Records, LLC","C © 2014 Apollo A-1 LLC, P ℗ 2014 Apollo A-1 LLC"
Lover,Taylor Swift,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FTaylor%20Swift%20-%20Lover%20(Official%20Music%20Video).mp3?alt=media,Lover,Taylor Swift,8/23/2019,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,1,3,221306,FALSE,92,USUG11901473,2021-08-08T09:26:31Z,pop,0.359,0.543,7,-7.582,1,0.0919,0.492,1.58E-05,0.118,0.453,68.534,4,,Taylor Swift,"C © 2019 Taylor Swift, P ℗ 2019 Taylor Swift"
Shake It Off,Taylor Swift,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FTaylor%20Swift%20-%20Shake%20It%20Off.mp3?alt=media,1989 (Deluxe),Taylor Swift,1/1/2014,https://i.scdn.co/image/ab67616d0000b27352b2a3824413eefe9e33817a,1,6,219200,FALSE,88,USCJY1431349,2021-08-08T09:26:31Z,pop,0.647,0.8,7,-5.384,1,0.165,0.0647,0,0.334,0.942,160.078,4,,"Big Machine Records, LLC","C © 2014 Apollo A-1 LLC, P ℗ 2014 Apollo A-1 LLC"
Style,Taylor Swift,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FTaylor%20Swift%20-%20Style.mp3?alt=media,1989 (Deluxe),Taylor Swift,1/1/2014,https://i.scdn.co/image/ab67616d0000b27352b2a3824413eefe9e33817a,1,3,231000,FALSE,92,USCJY1431319,2021-08-08T09:26:31Z,pop,0.588,0.791,7,-5.595,1,0.0402,0.00245,0.00258,0.118,0.487,94.933,4,,"Big Machine Records, LLC","C © 2014 Apollo A-1 LLC, P ℗ 2014 Apollo A-1 LLC"
The Man,Taylor Swift,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FTaylor%20Swift%20-%20The%20Man%20(Official%20Video).mp3?alt=media,Lover,Taylor Swift,8/23/2019,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,1,4,190360,FALSE,88,USUG11901474,2021-08-08T09:26:31Z,pop,0.777,0.658,0,-5.191,1,0.054,0.0767,0,0.0901,0.633,110.048,4,,Taylor Swift,"C © 2019 Taylor Swift, P ℗ 2019 Taylor Swift"
Everybody Wants To Rule The World,Tears For Fears,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FTears%20For%20Fears%20-%20Everybody%20Wants%20To%20Rule%20The%20World%20(Official%20Music%20Video).mp3?alt=media,Songs From The Big Chair (Super Deluxe Edition),Tears For Fears,2/25/1985,https://i.scdn.co/image/ab67616d0000b27322463d6939fec9e17b2a6235,1,3,251488,FALSE,91,GBF088590110,2021-08-08T09:26:31Z,"new romantic,new wave,new wave pop,permanent wave,rock,sophisti-pop,synthpop",0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,4,,UMC (Universal Music Catalogue),"C © 2014 Mercury Records Limited, P This Compilation ℗ 2014 Mercury Records Limited"
Something Just Like This,"The Chainsmokers, Coldplay",https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FThe%20Chainsmokers%20&%20Coldplay%20-%20Something%20Just%20Like%20This%20(Lyric).mp3?alt=media,Memories...Do Not Open,The Chainsmokers,4/7/2017,https://i.scdn.co/image/ab67616d0000b2730c13d3d5a503c84fcc60ae94,1,5,247160,FALSE,89,USQX91700278,2021-08-08T09:26:31Z,"electropop,pop,permanent wave,pop",0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44E-05,0.164,0.446,103.019,4,,Disruptor Records/Columbia,P (P) 2017 Disruptor Records/Columbia Records
Blinding Lights,The Weeknd,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FThe%20Weeknd%20-%20Blinding%20Lights%20(Official%20Video).mp3?alt=media,After Hours,The Weeknd,3/20/2020,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,1,9,200040,FALSE,93,USUG11904206,2021-08-08T09:26:31Z,"canadian contemporary r&b,canadian pop,pop",0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54E-05,0.0897,0.334,171.005,4,,Republic Records,"C © 2020 The Weeknd XO, Inc., marketed by Republic Records, a division of UMG Recordings, Inc., P ℗ 2020 The Weeknd XO, Inc., marketed by Republic Records, a division of UMG Recordings, Inc."
Save Your Tears,The Weeknd,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FThe%20Weeknd%20-%20Save%20Your%20Tears%20(Official%20Music%20Video).mp3?alt=media,After Hours,The Weeknd,3/20/2020,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,1,11,215626,TRUE,90,USUG12000658,2021-08-08T09:26:31Z,"canadian contemporary r&b,canadian pop,pop",0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24E-05,0.543,0.644,118.051,4,,Republic Records,"C © 2020 The Weeknd XO, Inc., marketed by Republic Records, a division of UMG Recordings, Inc., P ℗ 2020 The Weeknd XO, Inc., marketed by Republic Records, a division of UMG Recordings, Inc."
Starboy,"The Weeknd, Daft Punk",https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FThe%20Weeknd%20-%20Starboy%20ft.%20Daft%20Punk%20(Official%20Video).mp3?alt=media,Starboy,The Weeknd,11/25/2016,https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452,1,1,230453,TRUE,94,USUG11600976,2021-08-08T09:26:31Z,"canadian contemporary r&b,canadian pop,pop,electro,filter house,rock",0.679,0.587,7,-7.015,1,0.276,0.141,6.35E-06,0.137,0.486,186.003,4,,Universal Republic Records,"C © 2016 The Weeknd XO, Inc., Manufactured and Marketed by Republic Records, a Division of UMG Recordings, Inc., P ℗ 2016 The Weeknd XO, Inc., Manufactured and Marketed by Republic Records, a Division of UMG Recordings, Inc."
Lay Low,Tiësto,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FTiësto%20-%20Lay%20Low%20(Official%20Music%20Video).mp3?alt=media,Lay Low,Tiësto,1/6/2023,https://i.scdn.co/image/ab67616d0000b273c8fdaf1b33263d88246ba90a,1,1,153442,FALSE,87,NLZ542202348,2023-07-18T22:06:36Z,"big room,brostep,dutch edm,edm,house,pop dance,slap house,trance",0.534,0.855,1,-4.923,0,0.183,0.0607,0.000263,0.346,0.42,122.06,4,,Musical Freedom,"C © 2023 Musical Freedom Label Ltd., P ℗ 2023 Musical Freedom Label Ltd."
10:35,"Tiësto, Tate McRae",https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FTiësto%20-%2010_35%20(feat.%20Tate%20McRae)%20(Official%20Music%20Video).mp3?alt=media,DRIVE,Tiësto,4/21/2023,https://i.scdn.co/image/ab67616d0000b273cf8c47967e5c6bbc7dca5abb,1,3,172252,FALSE,78,CYA112001130,2023-05-07T12:00:29Z,"big room,brostep,dutch edm,edm,house,pop dance,slap house,trance,alt z,pop",0.696,0.793,8,-5.733,1,0.097,0.0683,3.78E-06,0.18,0.698,120.003,4,,Atlantic Records,"C © 2022 Musical Freedom Label, LLC under exclusive license to Atlantic Recording Corporation for the world., P ℗ 2022 Musical Freedom Label, LLC under exclusive license to Atlantic Recording Corporation for the world."
Africa,TOTO,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2FToto%20-%20Africa%20(Official%20HD%20Video).mp3?alt=media,Toto IV,TOTO,4/8/1982,https://i.scdn.co/image/ab67616d0000b2734a052b99c042dc15f933145b,1,10,295893,FALSE,88,USSM19801941,2021-08-08T09:26:31Z,"album rock,classic rock,hard rock,mellow gold,rock,soft rock,yacht rock",0.671,0.373,9,-18.064,1,0.0323,0.257,8.01E-05,0.0481,0.732,92.718,4,,Columbia,P (P) 1982 Sony Music Entertainment Inc.
Stressed Out,Twenty One Pilots,https://firebasestorage.googleapis.com/v0/b/surfio-417b9.appspot.com/o/music%2Ftwenty%20one%20pilots_%20Stressed%20Out%20[OFFICIAL%20VIDEO].mp3?alt=media,Blurryface,Twenty One Pilots,5/15/2015,https://i.scdn.co/image/ab67616d0000b273de03bfc2991fd5bcfde65ba3,1,2,202333,FALSE,89,USAT21500597,2021-08-08T09:26:31Z,"modern rock,pop,pov: indie,rock",0.734,0.637,4,-5.677,0,0.141,0.0462,2.29E-05,0.0602,0.648,169.977,4,,Fueled By Ramen,"C © 2015 Fueled By Ramen LLC for the United States and WEA International Inc. for the world outside of the United States. A Warner Music Group Company, P ℗ 2015 Fueled By Ramen LLC for the United States and WEA International Inc. for the world outside of the United States. A Warner Music Group Company"
